,Unnamed: 0,Company name,Date,Ticker,Industry,Country,Temperature Rise Limit,Industry Rating,Laggard,Average,Leader,comprehensiveness - % of company footprint covered by target
660,5293,Shimadzu Corporation,,,,,,,,,,
661,5294,SHIMANO INC.,,,,,,,,,,
662,5295,SHIMIZU CORPORATION,,,,,,,,,,
663,5296,"Shiseido Company, Limited",,,,,,,,,,
664,5297,"Shionogi & Co., Ltd.",,,,,,,,,,
665,5298,SHIMAO SERVICES HOLDINGS LIMITED,,,,,,,,,,
666,5299,"HOTEL SHILLA CO.,LTD",,,,,,,,,,
667,5300,"Nippon Shinyaku Co., Ltd.",,,,,,,,,,
668,5301,"SHIJIAZHUANG YILING PHARMACEUTICAL CO.,LTD",,,,,,,,,,
669,5352,LES COMPAGNIES LOBLAW LIMITEE,,,,,,,,,,
670,5354,CHINA LESSO GROUP HOLDINGS LIMITED,,,,,,,,,,
671,5400,Wartsila Oyj Abp,,,,,,,,,,
672,5402,WAREHOUSES DE PAUW NV,,,,,,,,,,
673,5403,Agility Public Warehousing Company K.S.C.P.,,,,,,,,,,
674,5564,COMPAGNIE PETROLIERE IMPERIALE LTEE,,,,,,,,,,
675,5567,OMV Aktiengesellschaft,,,,,,,,,,
676,5568,OMNICOM GROUP INC.,,,,,,,,,,
677,5569,HACI OMER SABANCI HOLDING ANONIM SIRKETI,,,,,,,,,,
678,5626,TE Connectivity Ltd.,,,,,,,,,,
679,5627,Ressources Teck Limitee,,,,,,,,,,
680,5628,BIO-TECHNE CORPORATION,,,,,,,,,,
681,5629,TECHTRONIC INDUSTRIES COMPANY LIMITED,,,,,,,,,,
682,5630,"KOEI TECMO HOLDINGS CO., LTD.",,,,,,,,,,
683,5631,ITOCHU Techno-Solutions Corporation,,,,,,,,,,
684,5632,"LUMEN TECHNOLOGIES, INC.",,,,,,,,,,
685,5633,"ROPER TECHNOLOGIES, INC.",,,,,,,,,,
686,5634,PALANTIR TECHNOLOGIES INC.,,,,,,,,,,
687,5635,TELEDYNE TECHNOLOGIES INCORPORATED,,,,,,,,,,
688,5646,FEDEX CORPORATION,,,,,,,,,,
689,5651,"CISCO SYSTEMS, INC.",,,,,,,,,,
690,5658,SMOORE INTERNATIONAL HOLDINGS LIMITED,,,,,,,,,,
691,5669,"INTERNATIONAL CONTAINER TERMINAL SERVICES, INC.",,,,,,,,,,
692,5670,"Luxshare Precision Industry Co., Ltd.",,,,,,,,,,
693,5677,DASSAULT AVIATION SA,,,,,,,,,,
694,5678,"AMAZON.COM, INC.",,,,,,,,,,
695,5679,AMBEV S.A.,,,,,,,,,,
696,5680,AMBUJA CEMENTS LIMITED,,,,,,,,,,
697,5681,Amadeus IT Group SA,,,,,,,,,,
698,5682,"AMC ENTERTAINMENT HOLDINGS, INC.",,,,,,,,,,
699,5695,CUMMINS INC.,,,,,,,,,,
700,5713,"RINGCENTRAL, INC.",,,,,,,,,,
701,5749,CIFI HOLDINGS (GROUP) CO. LTD.,,,,,,,,,,
702,5755,GFL ENVIRONMENTAL INC.,,,,,,,,,,
703,5758,"CGN Power Co., Ltd.",,,,,,,,,,
704,5765,HLB INC.,,,,,,,,,,
705,5766,Constellation Software Inc.,,,,,,,,,,
706,5773,GENERAL ELECTRIC COMPANY,,,,,,,,,,
707,5774,GECINA SA,,,,,,,,,,
708,5776,Geberit AG,,,,,,,,,,
709,5778,GEA Group Aktiengesellschaft,,,,,,,,,,
710,5780,GEELY AUTOMOBILE HOLDINGS LIMITED,,,,,,,,,,
711,5823,MPHASIS LIMITED,,,,,,,,,,
712,5829,"PERKINELMER, INC.",,,,,,,,,,
713,5830,PARKLAND CORPORATION,,,,,,,,,,
714,5833,FMC CORPORATION,,,,,,,,,,
715,5834,Fresenius Medical Care AG & Co. KGaA,,,,,,,,,,
716,5843,"SUN COMMUNITIES, INC.",,,,,,,,,,
717,5897,EATON CORPORATION PUBLIC LIMITED COMPANY,,,,,,,,,,
718,5898,IVANHOE MINES LTD,,,,,,,,,,
719,5907,"ITO EN,LTD.",,,,,,,,,,
720,5908,BOUYGUES S.A.,,,,,,,,,,
721,5909,"Enagas, S.A.",,,,,,,,,,
722,5910,Enbridge Inc.,,,,,,,,,,
723,5911,Energisa S.A.,,,,,,,,,,
724,5913,"ENEOS Holdings, Inc.",,,,,,,,,,
725,5914,ENEL - SPA,,,,,,,,,,
726,5915,Enel Chile S.A.,,,,,,,,,,
727,5916,ENEL ROSSIYA PAO,,,,,,,,,,
728,5937,ESR Group Limited,,,,,,,,,,
729,5942,"DUPONT DE NEMOURS, INC.",,,,,,,,,,
730,5956,TAL EDUCATION GROUP,,,,,,,,,,
731,5961,"Chifeng Jilong Gold Mining Co., Ltd.",,,,,,,,,,
732,5962,COSAN S.A.,,,,,,,,,,
733,5963,"COSTAR GROUP, INC.",,,,,,,,,,
734,5964,COSTCO WHOLESALE CORPORATION,,,,,,,,,,
735,5965,"Proya Cosmetics Co., Ltd.",,,,,,,,,,
736,5966,COSCO SHIPPING Ports Limited,,,,,,,,,,
737,5967,COSCO SHIPPING Development Company Limited,,,,,,,,,,
738,5968,"COSCO SHIPPING Holdings Co., Ltd.",,,,,,,,,,
739,5969,"COSCO Shipping Energy Transportation Co., Ltd.",,,,,,,,,,
740,5999,"Sichuan Yahua Industrial Group Co., Ltd.",,,,,,,,,,
741,6026,"IQIYI, INC.",,,,,,,,,,
742,6032,Telefonaktiebolaget LM Ericsson,,,,,,,,,,
743,6039,KONGSBERG GRUPPEN ASA,,,,,,,,,,
744,6064,AMCOR PLC,,,,,,,,,,
745,6101,MGM RESORTS INTERNATIONAL,,,,,,,,,,
746,6110,"Nomura Real Estate Master Fund, Inc.",,,,,,,,,,
747,6113,WHIRLPOOL CORPORATION,,,,,,,,,,
748,6116,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA,,,,,,,,,,
749,6118,AISIN CORPORATION,,,,,,,,,,
750,6119,"AIRBNB, INC.",,,,,,,,,,
751,6120,AIRTAC INTERNATIONAL GROUP,,,,,,,,,,
752,6121,BHARTI AIRTEL LIMITED,,,,,,,,,,
753,6122,EVA AIRWAYS CORPORATION,,,,,,,,,,
754,6123,QANTAS AIRWAYS LIMITED,,,,,,,,,,
755,6124,MALAYSIA AIRPORTS HOLDINGS BERHAD,,,,,,,,,,
756,6125,AIA Group Limited,,,,,,,,,,
757,6176,SANTANDER BANK POLSKA SPOLKA AKCYJNA,,,,,,,,,,
758,6177,SPLUNK INC.,,,,,,,,,,
759,6257,SD Biosensor Inc,,,,,,,,,,
760,6258,"SAMSUNG SDI CO., LTD.",,,,,,,,,,
761,6260,"SDIC Power Holdings Co., Ltd.",,,,,,,,,,
762,6309,GRUPPA LSR PAO,,,,,,,,,,
763,6312,"EPAM SYSTEMS, INC.",,,,,,,,,,
764,6320,TREASURY WINE ESTATES LIMITED,,,,,,,,,,
765,6322,Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,,,,,,,,,,
766,6323,"Mitsubishi Estate Company, Limited",,,,,,,,,,
767,6324,RIOCAN REAL ESTATE INVESTMENT TRUST,,,,,,,,,,
768,6325,Barwa Real Estate Company Q.P.S.C.,,,,,,,,,,
769,6327,Japan Real Estate Investment Corporation,,,,,,,,,,
770,6328,Link Real Estate Investment Trust,,,,,,,,,,
771,6329,Ascendas Real Estate Investment Trust,,,,,,,,,,
772,6750,"CHINA JUSHI CO., LTD",,,,,,,,,,
773,6751,Just Eat Takeaway.com N.V.,,,,,,,,,,
774,6757,"HMM CO.,LTD",,,,,,,,,,
775,6770,Hangzhou Lion Electronics Co Ltd,,,,,,,,,,
776,6772,PUBLIC BANK BHD,,,,,,,,,,
777,6773,TOP GLOVE CORPORATION BHD.,,,,,,,,,,
778,6775,KUWAIT FINANCE HOUSE K.S.C.P,,,,,,,,,,
779,6776,National Bank of Kuwait S.A.K.P,,,,,,,,,,
780,6783,Charoen Pokphand Foods Public Company Limited,,,,,,,,,,
781,6784,CPFL ENERGIA S.A.,,,,,,,,,,
782,6787,PUBLIC POWER CORPORATION S.A.,,,,,,,,,,
783,6804,Swiss Re AG,,,,,,,,,,
784,6805,Swiss Life Holding AG,,,,,,,,,,
785,6806,Swiss Prime Site AG,,,,,,,,,,
786,6929,"COINBASE GLOBAL, INC.",,,,,,,,,,
787,6930,REMY COINTREAU SA,,,,,,,,,,
788,6931,Erste Group Bank AG,,,,,,,,,,
789,6950,REA GROUP LTD,,,,,,,,,,
790,6951,Realtek Semiconductor Corp.,,,,,,,,,,
791,6952,REALTY INCOME CORPORATION,,,,,,,,,,
792,6953,KIMCO REALTY CORPORATION,,,,,,,,,,
793,6954,DUKE REALTY CORPORATION,,,,,,,,,,
794,6955,VORNADO REALTY TRUST,,,,,,,,,,
795,6957,HEALTHCARE REALTY TRUST INCORPORATED,,,,,,,,,,
796,7080,Aroundtown SA,,,,,,,,,,
797,7081,LKQ CORPORATION,,,,,,,,,,
798,7085,SHOPRITE HOLDINGS LIMITED,,,,,,,,,,
799,7089,HESS CORPORATION,,,,,,,,,,
800,7090,"Guangzhou Automobile Group Co., Ltd",,,,,,,,,,
801,7101,"Dai Nippon Printing Co., Ltd.",,,,,,,,,,
802,7102,"Dai-ichi Life Holdings, Inc.",,,,,,,,,,
803,7103,"DAIKIN INDUSTRIES,LTD.",,,,,,,,,,
804,7104,"DAIFUKU CO.,LTD.",,,,,,,,,,
805,7105,"DAIICHI SANKYO COMPANY, LIMITED",,,,,,,,,,
806,7106,Daimler Truck Holding AG,,,,,,,,,,
807,7107,CHINA MENGNIU DAIRY COMPANY LIMITED,,,,,,,,,,
808,7108,"DAITO TRUST CONSTRUCTION CO.,LTD.",,,,,,,,,,
809,7109,Daiwa Securities Group Inc.,,,,,,,,,,
810,7110,"DAIWA HOUSE INDUSTRY CO.,LTD.",,,,,,,,,,
811,7122,Koninklijke KPN N.V.,,,,,,,,,,
812,7141,"Pan Ocean Co., Ltd.",,,,,,,,,,
813,7153,Akzo Nobel N.V.,,,,,,,,,,
814,7164,ELIA GROUP SA,,,,,,,,,,
815,7165,Elisa Oyj,,,,,,,,,,
816,7172,ADIDAS AG,,,,,,,,,,
817,7180,Magna International Inc.,,,,,,,,,,
818,7248,Indraprastha Gas Ltd,,,,,,,,,,
819,7262,Keio Corporation,,,,,,,,,,
820,7263,"Keisei Electric Railway Co.,Ltd.",,,,,,,,,,
821,7266,"THE TJX COMPANIES, INC.",,,,,,,,,,
822,7270,ZTO EXPRESS (CAYMAN) INC.,,,,,,,,,,
823,7276,TC Energy Corporation,,,,,,,,,,
824,7282,The Commercial Bank (P.S.Q.C.),,,,,,,,,,
825,7283,Givaudan SA,,,,,,,,,,
826,7293,BHARAT FORGE LTD,,,,,,,,,,
827,7295,FORD MOTOR COMPANY,,,,,,,,,,
828,7296,FORMOSA PETROCHEMICAL CORPORATION,,,,,,,,,,
829,7298,FORD OTOMOTIV SANAYI ANONIM SIRKETI,,,,,,,,,,
830,7299,FORMOSA CHEMICALS & FIBRE CORPORATION,,,,,,,,,,
831,7330,TURKIYE PETROL RAFINERILERI ANONIM SIRKETI,,,,,,,,,,
832,7331,Rabigh Refining and Petrochemical Company SJSC,,,,,,,,,,
833,7332,"Shanghai RAAS Blood Products Co., Ltd.",,,,,,,,,,
834,7345,KINGSPAN GROUP PUBLIC LIMITED COMPANY,,,,,,,,,,
835,7347,SMITH & NEPHEW PLC,,,,,,,,,,
836,7348,SNOWFLAKE INC.,,,,,,,,,,
837,7349,SNAM S.P.A.,,,,,,,,,,
838,7350,SNAP INC.,,,,,,,,,,
839,7388,SSE PLC,,,,,,,,,,
840,7399,"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, S.A.",,,,,,,,,,
841,7405,MCAFEE CORP.,,,,,,,,,,
842,7423,PUBLIC STORAGE,,,,,,,,,,
843,7456,BIM BIRLESIK MAGAZALAR ANONIM SIRKETI,,,,,,,,,,
844,7467,COAL INDIA LTD,,,,,,,,,,
845,7468,Shaanxi Coal Industry Company Limited,,,,,,,,,,
846,7469,China Coal Energy Company Limited,,,,,,,,,,
847,7470,"INNER MONGOLIA YITAI COAL CO., LTD",,,,,,,,,,
848,7471,"PINGDINGSHAN TIANAN COAL. MINING CO., LTD.",,,,,,,,,,
849,7472,"HENAN SHENHUO COAL & POWER CO.,LTD",,,,,,,,,,
850,7473,"Shanxi Coking Coal Energy Group Co., Ltd.",,,,,,,,,,
851,7500,Wolters Kluwer N.V.,,,,,,,,,,
852,7501,Zhejiang Wolwo Bio-Pharmaceutical Co Ltd,,,,,,,,,,
853,7538,"CHIPOTLE MEXICAN GRILL, INC.",,,,,,,,,,
854,7549,TOURMALINE OIL CORP.,,,,,,,,,,
855,7551,Larsen & Toubro Infotech Ltd,,,,,,,,,,
856,7552,LARSEN AND TOUBRO LIMITED,,,,,,,,,,
857,7553,"SHANGHAI YUYUAN TOURIST MART (GROUP) CO., LTD.",,,,,,,,,,
858,7554,Indian Railway Catering and Tourism Corporation Ltd,,,,,,,,,,
859,7584,FIRST ABU DHABI BANK P.J.S.C,,,,,,,,,,
860,7604,UOL GROUP LIMITED,,,,,,,,,,
861,7623,ABN AMRO Bank N.V.,,,,,,,,,,
862,7625,POLSKI KONCERN NAFTOWY ORLEN SPOLKA AKCYJNA,,,,,,,,,,
863,7626,SANOFI SA,,,,,,,,,,
864,7627,"BANCO SANTANDER, S.A.",,,,,,,,,,
865,7628,Sandvik Aktiebolag,,,,,,,,,,
866,7629,SANTOS LIMITED,,,,,,,,,,
867,7630,INTESA SANPAOLO SPA,,,,,,,,,,
868,7631,Sangfor Technologies Inc,,,,,,,,,,
869,7633,"SANY HEAVY INDUSTRY CO., LTD",,,,,,,,,,
870,7635,NIPPON SANSO HOLDINGS CORPORATION,,,,,,,,,,
871,8136,Zai Lab Ltd,,,,,,,,,,
872,8137,NASPERS LIMITED,,,,,,,,,,
873,8148,"USS Co., Ltd.",,,,,,,,,,
874,8154,"WuXi AppTec Co., Ltd.",,,,,,,,,,
875,8155,WUXI BIOLOGICS (CAYMAN) INC.,,,,,,,,,,
876,8156,"Wuxi Shangji Automation Co., Ltd.",,,,,,,,,,
877,8222,CERIDIAN HCM HOLDING INC.,,,,,,,,,,
878,8223,"Hitachi Construction Machinery Co., Ltd.",,,,,,,,,,
879,8243,OTP Bank Nyrt.,,,,,,,,,,
880,8252,Daqo New Energy Corp.,,,,,,,,,,
881,8254,"Shennan Circuits Co., Ltd.",,,,,,,,,,
882,8255,Chaozhou Three-circle Group Co Ltd,,,,,,,,,,
883,8256,NAN YA PRINTED CIRCUIT BOARD CORPORATION,,,,,,,,,,
884,8257,Wus Printed Circuit Kunshan Co Ltd,,,,,,,,,,
885,8446,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",,,,,,,,,,
886,8482,ARC RESOURCES LTD.,,,,,,,,,,
887,8514,"NIKE, INC.",,,,,,,,,,
888,8522,"Sompo Holdings, Inc.",,,,,,,,,,
889,8533,HOPSON DEVELOPMENT HOLDINGS LIMITED,,,,,,,,,,
890,8534,"New Hope Liuhe Co., Ltd.",,,,,,,,,,
891,8537,WIX.COM LTD,,,,,,,,,,
892,8559,TFI International Inc.,,,,,,,,,,
893,8566,Central Japan Railway Company,,,,,,,,,,
894,8568,"Daqin Railway Co., Ltd.",,,,,,,,,,
895,8569,"TOBU RAILWAY CO., LTD.",,,,,,,,,,
896,8570,West Japan Railway Company,,,,,,,,,,
897,8571,China Railway Group Limited,,,,,,,,,,
898,8572,AFRICAN RAINBOW MINERALS LIMITED,,,,,,,,,,
899,8574,INDIAN RAILWAY FINANCE CORPORATION LIMITED,,,,,,,,,,
900,8587,ABSA GROUP LIMITED,,,,,,,,,,
901,8599,SOTERA HEALTH COMPANY,,,,,,,,,,
902,8600,PT Indofood CBP Sukses Makmur Tbk,,,,,,,,,,
903,8614,WEBSTER FINANCIAL CORPORATION,,,,,,,,,,
904,8615,SHAW COMMUNICATIONS INC.,,,,,,,,,,
905,8618,"SHANXI SECURITIES CO., LTD.",,,,,,,,,,
906,8619,"SHANDONG LINGLONG TYRE CO., LTD.",,,,,,,,,,
907,8620,"Shandong Gold Mining Co., Ltd.",,,,,,,,,,
908,8621,"Shandong Nanshan Aluminium Co., Ltd.",,,,,,,,,,
909,8622,"SHANDONG SUN PAPER CO., LTD.",,,,,,,,,,
910,8624,Sharp Corporation,,,,,,,,,,
911,8635,HAMAMATSU PHOTONICS K.K.,,,,,,,,,,
912,8636,BOOZ ALLEN HAMILTON HOLDING CORPORATION,,,,,,,,,,
913,8637,"ANGEL YEAST CO., LTD",,,,,,,,,,
914,8638,Yealink Network Technology Co Ltd,,,,,,,,,,
915,8645,"ETSY, INC.",,,,,,,,,,
916,8646,"Shin-Etsu Chemical Co., Ltd.",,,,,,,,,,
917,8667,HK ELECTRIC INVESTMENTS LIMITED,,,,,,,,,,
918,8668,HKT Trust and HKT Limited,,,,,,,,,,
919,8670,NATIONAL GRID PLC,,,,,,,,,,
920,8671,"ENN Natural Gas Co., Ltd.",,,,,,,,,,
921,8679,Beijing Tiantan Biological Products Corporation Limited,,,,,,,,,,
922,8681,Yunnan Botanee Bio-Technology Group Co Ltd,,,,,,,,,,
923,8682,Shenzhen Mindray Bio-Medical Electronics Co Ltd,,,,,,,,,,
924,8683,BIOGEN INC.,,,,,,,,,,
925,8684,BIOCON LIMITED,,,,,,,,,,
926,8685,BIOMERIEUX SA,,,,,,,,,,
927,8759,IQVIA HOLDINGS INC,,,,,,,,,,
928,8760,BANCO DO BRASIL S.A.,,,,,,,,,,
929,8761,"Do-Fluoride New Materials Co., Ltd.",,,,,,,,,,
930,8763,DOLLARAMA INC.,,,,,,,,,,
931,8764,"DOCUSIGN, INC.",,,,,,,,,,
932,8765,"DOLLAR TREE, INC.",,,,,,,,,,
933,8766,DOLLAR GENERAL CORPORATION,,,,,,,,,,
934,8767,"NINGBO ORIENT WIRES & CABLES CO.,LTD.",,,,,,,,,,
935,8771,NEMETSCHEK SE,,,,,,,,,,
936,8772,NEC Corporation,,,,,,,,,,
937,8773,Nedbank Group Limited,,,,,,,,,,
938,8777,PT Bank Negara Indonesia (Persero) Tbk,,,,,,,,,,
939,8836,GRAB HOLDINGS LIMITED,,,,,,,,,,
940,8859,JUMBO S.A.,,,,,,,,,,
941,8863,KUAISHOU TECHNOLOGY,,,,,,,,,,
942,8864,KUALA LUMPUR KEPONG BERHAD,,,,,,,,,,
943,8865,Kuang-Chi Technologies Co Ltd,,,,,,,,,,
944,8928,HEWLETT PACKARD ENTERPRISE COMPANY,,,,,,,,,,
945,8931,WESTROCK COMPANY,,,,,,,,,,
946,8938,"ZILLOW GROUP, INC.",,,,,,,,,,
947,8944,"BTG Hotels (Group) Co., Ltd.",,,,,,,,,,
948,8945,BANCO BTG PACTUAL S.A.,,,,,,,,,,
949,8966,SPARK NEW ZEALAND LIMITED,,,,,,,,,,
950,8967,"BOE Technology Group Co., Ltd.",,,,,,,,,,
951,8968,THE BOEING COMPANY,,,,,,,,,,
952,8969,Deutsche Boerse Aktiengesellschaft,,,,,,,,,,
953,8970,WEYERHAEUSER COMPANY,,,,,,,,,,
954,8974,Telefonica S.A.,,,,,,,,,,
955,8975,MIZRAHI TEFAHOT BANK LTD,,,,,,,,,,
956,9006,ING Groep N.V.,,,,,,,,,,
957,9008,"HUNTINGTON INGALLS INDUSTRIES, INC.",,,,,,,,,,
958,9009,Ingenic Semiconductor Co Ltd,,,,,,,,,,
959,9016,ZEBRA TECHNOLOGIES CORPORATION,,,,,,,,,,
960,9069,Orion Oyj,,,,,,,,,,
961,9070,Sampo Oyj,,,,,,,,,,
962,9071,Fortum Oyj,,,,,,,,,,
963,9072,Kesko Oyj,,,,,,,,,,
964,9074,Neste Oyj,,,,,,,,,,
965,9075,KONE Oyj,,,,,,,,,,
966,9076,Nokia Oyj,,,,,,,,,,
967,9220,"Fomento Economico Mexicano, S.A.B. de C.V.",,,,,,,,,,
968,9221,"OPERADORA DE SITES MEXICANOS, SOCIEDAD ANONIMA DE CAPITAL VARIABLE",,,,,,,,,,
969,9222,"Grupo Mexico, S.A.B. de C.V.",,,,,,,,,,
970,9223,"Wal-Mart de Mexico, S.A.B. de C.V.",,,,,,,,,,
971,9225,"Anjoy Foods Group Co., Ltd.",,,,,,,,,,
972,9229,"UNITED PARCEL SERVICE, INC.",,,,,,,,,,
973,9234,Companhia Energetica de Minas Gerais - CEMIG,,,,,,,,,,
974,9235,CIGNA CORPORATION,,,,,,,,,,
975,9245,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,,,,,,,,,,
976,9258,DUKE ENERGY CORPORATION,,,,,,,,,,
977,9262,PAGE INDUSTRIES LIMITED,,,,,,,,,,
978,9264,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,,,,,,,,,,
979,9266,"Samsung Electronics Co., Ltd.",,,,,,,,,,
980,9267,SAMSUNG C&T CORPORATION,,,,,,,,,,
981,9268,"SAMSUNG SECURITIES CO.,LTD",,,,,,,,,,
982,9269,"SAMSUNG BIOLOGICS CO.,LTD.",,,,,,,,,,
983,9271,"Samsung Engineering Co., Ltd.",,,,,,,,,,
984,9493,EQUITY RESIDENTIAL,,,,,,,,,,
985,9494,CORNING INCORPORATED,,,,,,,,,,
986,9506,YAGEO CORPORATION,,,,,,,,,,
987,9515,"THE SHANGHAI COMMERCIAL & SAVINGS BANK, LTD.",,,,,,,,,,
988,9516,"POSTAL SAVINGS BANK OF CHINA CO., LTD.",,,,,,,,,,
989,9538,EXELON CORPORATION,,,,,,,,,,
990,9543,Northrop Grumman Corporation,,,,,,,,,,
991,9549,CME GROUP INC.,,,,,,,,,,
992,9550,PTT Public Company Limited,,,,,,,,,,
993,9551,PTT Oil and Retail Business PCL,,,,,,,,,,
994,9552,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,,,,,,,,,,
995,9553,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED,,,,,,,,,,
996,9590,"GARTNER, INC.",,,,,,,,,,
997,9592,ITAUSA S.A.,,,,,,,,,,
998,9593,ITC LIMITED,,,,,,,,,,
999,9594,ITOCHU Corporation,,,,,,,,,,
1000,9596,LINGYI iTECH (GUANGDONG) COMPANY,,,,,,,,,,
1001,9598,INFRASTRUTTURE WIRELESS ITALIANE S.P.A.,,,,,,,,,,
1002,9680,Fresenius SE & Co. KGaA,,,,,,,,,,
1003,9681,Henkel AG & Co. KGaA,,,,,,,,,,
1004,9689,NXP Semiconductors N.V.,,,,,,,,,,
1005,9691,Husqvarna Aktiebolag,,,,,,,,,,
1006,9709,AB Ignitis grupe,,,,,,,,,,
1007,9713,THE J. M. SMUCKER COMPANY,,,,,,,,,,
1008,9719,"GF Securities Co., Ltd.",,,,,,,,,,
1009,9763,"TESLA, INC.",,,,,,,,,,
1010,9764,TESCO PLC,,,,,,,,,,
1011,9801,"Aena SME, S.A.",,,,,,,,,,
1012,9803,"GENERAL MILLS, INC.",,,,,,,,,,
1013,9819,AIR CANADA,,,,,,,,,,
1014,9820,Air China Limited,,,,,,,,,,
1015,9821,"KOREAN AIR LINES CO.,LTD",,,,,,,,,,
1016,9822,"AIR PRODUCTS AND CHEMICALS, INC.",,,,,,,,,,
1017,9825,"DELTA AIR LINES, INC.",,,,,,,,,,
1018,9826,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,,,,,,,,,,
1019,9859,"Zibo Qixiang Tengda Chemical Co., Ltd.",,,,,,,,,,
1020,9866,"AMERICAN WATER WORKS COMPANY, INC.",,,,,,,,,,
1021,9872,Innolux Corporation,,,,,,,,,,
1022,9873,"INNOVENT BIOLOGICS, INC.",,,,,,,,,,
1023,9874,"LG INNOTEK CO.,LTD",,,,,,,,,,
1024,9875,Zhongji Innolight Co Ltd,,,,,,,,,,
1025,9877,"Inner Mongolia ERDOS Resources Co.,Ltd.",,,,,,,,,,
1026,9878,"Inner Mongolia Baotou Steel Union Co., Ltd",,,,,,,,,,
1027,9880,"Inner Mongolia Yili Industrial Group Co., Ltd.",,,,,,,,,,
1028,9881,Inner Mongolia Yuan Xing Energy Company Limited,,,,,,,,,,
1029,9902,"VAIL RESORTS, INC.",,,,,,,,,,
1030,9932,DAVITA INC.,,,,,,,,,,
1031,9945,OLD MUTUAL LIMITED,,,,,,,,,,
1032,9946,"OLD DOMINION FREIGHT LINE, INC.",,,,,,,,,,
1033,9995,NOVOCURE LIMITED,,,,,,,,,,
1034,9996,NOVATEK PAO,,,,,,,,,,
1035,9997,NOVOLIPETSK STEEL PAO,,,,,,,,,,
1036,9998,NOVOZYMES A/S,,,,,,,,,,
1037,9999,Novartis AG,,,,,,,,,,
1038,10051,ENN ENERGY HOLDINGS LIMITED,,,,,,,,,,
1039,10061,STANDARD BANK GROUP LIMITED,,,,,,,,,,
1040,10063,"WASTE CONNECTIONS, INC.",,,,,,,,,,
1041,10064,GJENSIDIGE FORSIKRING ASA,,,,,,,,,,
1042,10074,KDDI CORPORATION,,,,,,,,,,
1043,10075,BANK OF AMERICA CORPORATION,,,,,,,,,,
1044,10076,"BANK OF CHENGDU CO., LTD.",,,,,,,,,,
1045,10077,"Bank of Ningbo Co., Ltd.",,,,,,,,,,
1046,10078,"Bank of Beijing Co., Ltd.",,,,,,,,,,
1047,10079,"BANK OF NANJING CO., LTD.",,,,,,,,,,
1048,10080,"BANK OF HANGZHOU CO., LTD.",,,,,,,,,,
1049,10081,"Bank of Jiangsu Co., Ltd.",,,,,,,,,,
1050,10082,"BANK OF CHANGSHA CO., LTD.",,,,,,,,,,
1051,10084,"Power Construction Corporation of China, Ltd.",,,,,,,,,,
1052,10245,CARREFOUR SA,,,,,,,,,,
1053,10246,CAE INC.,,,,,,,,,,
1054,10247,"CAESARS ENTERTAINMENT, INC.",,,,,,,,,,
1055,10248,"CADENCE DESIGN SYSTEMS, INC.",,,,,,,,,,
1056,10251,"Caitong Securities Co., Ltd.",,,,,,,,,,
1057,10252,"Caixabank, S.A.",,,,,,,,,,
1058,10277,HCL TECHNOLOGIES LIMITED,,,,,,,,,,
1059,10283,BEZEQ THE ISRAELI TELECOMMUNICATION CORP LTD,,,,,,,,,,
1060,10284,"Shanxi Taigang Stainless Steel Co., Ltd.",,,,,,,,,,
1061,10285,STANDARD CHARTERED PLC,,,,,,,,,,
1062,10314,JSW STEEL LIMITED,,,,,,,,,,
1063,10316,Thai Union Group Public Company Limited,,,,,,,,,,
1064,10318,"Ningbo Tuopu Group Co., Ltd.",,,,,,,,,,
1065,10319,AKBANK TURK ANONIM SIRKETI,,,,,,,,,,
1066,10321,TURK HAVA YOLLARI ANONIM ORTAKLIGI,,,,,,,,,,
1067,10322,TURKIYE IS BANKASI ANONIM SIRKETI,,,,,,,,,,
1068,10496,"Youngy Co., Ltd.",,,,,,,,,,
1069,10497,"Youngor Group Co., Ltd",,,,,,,,,,
1070,10500,ORACLE CORPORATION JAPAN,,,,,,,,,,
1071,10501,JAPAN TOBACCO INC.,,,,,,,,,,
1072,10504,"Japan Airlines Co., Ltd.",,,,,,,,,,
1073,10506,"Japan Exchange Group, Inc.",,,,,,,,,,
1074,10508,"McDonald's Holdings Company (Japan), Ltd.",,,,,,,,,,
1075,10509,"JAPAN POST BANK Co.,Ltd.",,,,,,,,,,
1076,10554,Itau Unibanco Holding S.A.,,,,,,,,,,
1077,10565,"Toly Bread Co., Ltd.",,,,,,,,,,
1078,10640,PIDILITE INDUSTRIES LIMITED,,,,,,,,,,
1079,10651,EVOLUTION MINING LIMITED,,,,,,,,,,
1080,10655,Ooredoo Q.P.S.C.,,,,,,,,,,
1081,10689,"YUNNAN YUNTIANHUA CO., LTD",,,,,,,,,,
